No.,職業,ルート,ステータス,モンスター1,モンスター2,モンスター3,モンスター4,モンスター5,モンスター6,モンスター7,モンスター8,モンスター9,モンスター10,モンスター11,モンスター12,モンスター13,モンスター14,モンスター15,モンスター16,モンスター17,モンスター18,モンスター19
11,ゴッドハンド,守護道ルート⑤（Lv.40以上）,"ゴッドガード発動率＋8％
ゴッドガード反撃ダメージ＋250％
さいだいHP＋15
みのまもり＋20",まどうし,だいまどう,,,,,,,,,,,,,,,,,
12,ゴッドハンド,武道ルート⑥（Lv.50以上）,"ゴッドレイジ発動率＋5％
ゴッドレイジ威力アップ+15％
呪い耐性＋3％
会心率＋2％",欲望の魔人,欲望の魔人(覚醒),あくまのツボ,たんすミミック,竜神のふくぶくろ,チョコのせきぞう,さまよう白武者,サタンメイル,はめつのゴーレム,炎の巨人,,,,,,,,,
13,ゴッドハンド,守護道ルート⑥（Lv.50以上）,"ゴッドガードダメージ軽減率＋5％
ゴッドチェイン発動時のガード率＋10％
さいだいHP＋20【パラディン】練度6以上で+15
ガード率＋1％",冥王ネルゲル,幻魔王デスタムーア(覚醒),竜王(覚醒),ヤムチャ,獣威兵アネモーズ(覚醒),水の精霊,かみさま,かみさま(覚醒),,,,,,,,,,,
14,ゴッドハンド,武道ルート⑦（Lv.60以上＆ダーマ試練）,"スキルの斬撃・体技ダメージ+2%
すばやさ+10
さいだいMP＋15【バトマス】練度8以上で+15
ちから+5",メタルブラザーズ,,,,,,,,,,,,,,,,,,
15,ゴッドハンド,守護道ルート⑦（Lv.60以上＆ダーマ試練）,"斬撃・体技耐性+2％
ちから+10
すばやさ＋15【パラディン】練度8以上で+15
さいだいHP+10",よろいのきし,よろいのきし(覚醒),,,,,,,,,,,,,,,,,
16,ゴッドハンド,武道ルート⑧（Lv.70以上）,"すばやさ+10
さいだいMP+10
スキルの斬撃・体技ダメージ+2%
ちから+5",ギガパレス,,,,,,,,,,,,,,,,,,
17,ゴッドハンド,守護道ルート⑧（Lv.70以上）,"ちから+10
さいだいHP+10
自分が受けるスキル・どうぐのHP回復効果+2％
すばやさ+5",ドルイド,,,,,,,,,,,,,,,,,,
18,ゴッドハンド,武道ルート⑨（Lv.80以上）,"ちから+10
さいだいHP+15
すばやさ+10
スキルの斬撃・体技ダメージ+2%",コドラ,,,,,,,,,,,,,,,,,,
19,ゴッドハンド,守護道ルート⑨（Lv.80以上）,"みのまもり+10
さいだいMP+10
ちから+5
ガード率+1%",ボボンガー,,,,,,,,,,,,,,,,,,
20,ゴッドハンド,武道ルート⑩（Lv.90以上）,"スキルの斬撃・体技ダメージ+2%
会心率+2%
みのまもり+10【バトマス】練度9以上で+10
さいだいMP+10",はめつのゴーレム,,,,,,,,,,,,,,,,,,
21,ゴッドハンド,守護道ルート⑩（Lv.90以上）,"斬撃・体技耐性+2%
ガード率+1%
ちから+10【パラディン】練度9以上で+10
さいだいHP+10",血染めの魔剣,,,,,,,,,,,,,,,,,,
22,守り人,最初の道（Lv.1以上）,"さいだいHP+10
みのまもり+10
かいふく魔力+5
全属性耐性+1%",ごろつき,MCカンダタ,ブラウニー,,,,,,,,,,,,,,,,
23,守り人,まもり/加護道ルート①（Lv.5以上）,"グレイトウォール発動率+10%
ちから+5【パラディン】練度2以上で+5
みのまもり+15
さいだいHP+10
",ブラッドソード,アイアンクック,ぬすっとウサギ,,,,,,,,,,,,,,,,
24,守り人,ささえ/祝福道ルート①（Lv.5以上）,"スキルHP回復効果+2%
かいふく魔力+5【スパスタ】練度2以上で+5
さいだいMP+20
すばやさ+10",ヒートキズモ,きめんどうし,フレイム,ナスビナーラ,おばけキノコ,ツボック,ブルベリーノ,,,,,,,,,,,,
25,守り人,まもり/加護道ルート②（Lv.10以上）,"マルチガード
さいだいMP+10
ちから+15
すばやさ+5→+10",うみぼうず,ダースウルフェン,,,,,,,,,,,,,,,,,
26,守り人,ささえ/祝福道ルート②（Lv.10以上）,"ベホイミ
さいだいHP+10
すばやさ+15
みのまもり+5",スマイルロック,さくらボンボン,ぐんたいガニ,,,,,,,,,,,,,,,,
27,守り人,まもり/加護道ルート③（Lv.20以上）,"グレイトウォールダメージ軽減率+5%
ちから+10【パラディン】練度4以上で+10
みのまもり+10
斬撃・体技耐性+1%",どろにんぎょう,ビッグハット,マーブルン,,,,,,,,,,,,,,,,
28,守り人,ささえ/祝福道ルート③（Lv.20以上）,"スキルHP回復効果+1%→+2％
みのまもり+15
さいだいMP+20【スパスタ】練度4以上で+20
じゅもん耐性+1%",マッドスミス,ブルサベージ,ベロリンマン,,,,,,,,,,,,,,,,
29,守り人,まもり/加護道ルート④（Lv.30以上＆ダーマ試練）,"におうだち(守り人)
グレイトウォール発動時 自身がHP1で生き残る
さいだいHP+30
スキルの斬撃・体技ダメージ+2％
(すばやさ+10は守り人で消えた)",スライムナイト,ナイトキャット,,,,,,,,,,,,,,,,,
30,守り人,ささえ/祝福道ルート④（Lv.30以上＆ダーマ試練）,"スキルHP回復効果+1％
↓
聖なる祈り(守り人)
みのまもり+10
ちから+10
ブレス耐性+1％",竜王,くもの大王,幻魔王デスタムーア,わかめ王子,闇の覇者 竜王,魔王オムド・レクス,闇の大魔王ゾーマ,ピッコロ大魔王,闇の覇者蒼き竜王,闇の覇者蒼き竜王(覚醒),くもの大王（覚醒）,,,,,,,,
31,守り人,まもり/加護道ルート⑤（Lv.40以上）,"グレイトウォール発動率+10%
さいだいMP+10
ちから+10【パラディン】練度6以上で+10
ガード率+1％",ミイラ男,,,,,,,,,,,,,,,,,,
32,守り人,ささえ/祝福道ルート⑤（Lv.40以上）,"スキルHP回復効果+1％
さいだいHP+15【スパスタ】練度6以上で+15
すばやさ+15
全属性耐性+1％",ようがんまじん,はれおとこ,,,,,,,,,,,,,,,,,
33,守り人,まもり/加護道ルート⑥（Lv.50以上）,"グレイトウォールダメージ軽減率+5%
すばやさ+10→+15
さいだいHP+35
斬撃・体技耐性+1％",ムドー,ギルギッシュ,水竜ギルギッシュ(覚醒),邪眼皇帝アウルート,邪神官ハーゴン,きとうし,マーマンダイン,白ジャンボコロネ,迅雷天ミカヅチ,モリーサタン,ワイトキング(覚醒),是空天ミカヅチ(覚醒),ライオネック,プレミアムチョコヌーバ,コメットスライム,ミリエラ,くもの大王,ゼッペル,イズライール(覚醒)
34,守り人,ささえ/祝福道ルート⑥（Lv.50以上）,"自分が受けるスキル・どうぐのHP回復効果+1％
みのまもり+10
ちから+25
すべての状態異常耐性+1％",スノーモン,,,,,,,,,,,,,,,,,,
35,守り人,まもり/加護道ルート⑦（Lv.60以上＆ダーマ試練）,"グレイトウォール発動率+10%
さいだいHP+20【パラディン】練度8以上で+20
みのまもり+20
スキルの斬撃・体技ダメージ+2％",メタルエンゼル,,,,,,,,,,,,,,,,,,
36,守り人,ささえ/祝福道ルート⑦（Lv.60以上＆ダーマ試練）,"スキルHP回復効果+1％
かいふく魔力+10【スパスタ】練度8以上で+10
さいだいHP+25
悪い状態異常耐性+1％",堕天使エルギオス,いどまじん,闇の大魔王ゾーマ,呪幻師シャルマナ,ピッコロ大魔王,グラコスエビル,,,,,,,,,,,,,
37,守り人,まもり/加護道ルート⑧（Lv.70以上）,"スキルの斬撃ダメージ+1%
さいだいMP+10
すばやさ+5
さいだいHP+10",ガニメデス,エビルトレント,,,,,,,,,,,,,,,,,
38,守り人,ささえ/祝福道ルート⑧（Lv.70以上）,"スキルの体技ダメージ+1%
みのまもり+10
すばやさ+10",ブラッドナイト,マッスルガード(覚醒),せつげんりゅう,魔性の道化師ドルマゲス(覚醒),デスマシーンモデルE,アルス(覚醒),,,,,,,,,,,,,
39,守り人,まもり/加護道ルート⑨（Lv.80以上）,"さいだいHP+10
ガード率+1%
みのまもり+10
すばやさ+5",呪幻師シャルマナ,モリーサタン,,,,,,,,,,,,,,,,,
40,守り人,ささえ/祝福道ルート⑨（Lv.80以上）,"みのまもり+10
全属性耐性+1%
さいだいMP+5
さいだいHP+25",スライムボーグ,,,,,,,,,,,,,,,,,,
41,守り人,まもり/加護道ルート⑩（Lv.90以上）,"ガード率+1%
さいだいMP+10
ちから+10【パラディン】練度9以上で+10
斬撃・体技耐性+1%",ダイヤモンドコーン,じごくのヌエ,,,,,,,,,,,,,,,,,
42,守り人,ささえ/祝福道ルート⑩（Lv.90以上）,"スキルHP回復効果+1%
さいだいHP+25
かいふく魔力+10【スパスタ】練度9以上で+10
すべての状態異常耐性+1%",リザードファッツ,,,,,,,,,,,,,,,,,,
43,大神官,最初の道（Lv.1以上）,"最大HP+15
最大MP+15
みのまもり+15
すばやさ+15",モーモン,びっくりサタン,トロル,,,,,,,,,,,,,,,,
44,大神官,祈道ルート①（Lv.5以上）,"マヌーハ
スキルHP回復効果+4％
回復魔力+20
みのまもり+15",バブルスライム,プチアーノン,ドロル,ぶちスライム,,,,,,,,,,,,,,,
45,大神官,舞道ルート①（Lv.5以上）,"鼓舞激励の発動率+5％
最大MP+10
最大HP+10
すばやさ+10",デビルアーマー,ばくだん岩,しりょうのきし,ベビーサラマンダ,,,,,,,,,,,,,,,
46,大神官,祈道ルート②（Lv.10以上）,"ザメハ
スキルHP回復効果+3％
回復魔力+30
みのまもり+15【賢者】練度2以上で+10",しのさそり,オーク,キラーパンサー,じんめんじゅ,,,,,,,,,,,,,,,
47,大神官,舞道ルート②（Lv.10以上）,"鼓舞激励の発動率+5％
ハッスルダンス
みのまもり+10【スパスタ】練度2以上で+10
ちから+20",じごくのよろい,てっこうまじん,デンタザウルス,タップペンギー,アンデッドマン,,,,,,,,,,,,,,
48,大神官,祈道ルート③（Lv.20以上）,"神官の風障壁
最大HP+15
最大MP+15
みのまもり+10",しろバラのきし,ほのおのせんし,はくろうじゅ,イーグルデビル,スライムスノー,さまよう白武者,,,,,,,,,,,,,
49,大神官,舞道ルート③（Lv.20以上）,"スキルの斬撃・体技ダメージ+3％
ちから+20
戦闘時のハッスルダンスHP回復効果+10％
すべての状態異常耐性+5％",メラゴースト,ミケまどう,のろいの岩,,,,,,,,,,,,,,,,
50,大神官,祈道ルート④（Lv.30以上＆ダーマ試練）,"まもりのたて
回復魔力+15
最大HP+15【賢者】練度4以上で+15
回復魔力+15",セキバーン,じごくのハサミ,,,,,,,,,,,,,,,,,
51,大神官,舞道ルート④（Lv.30以上＆ダーマ試練）,"アンコール
みのまもり+10
最大HP+10
すばやさ+10【スパスタ】練度4以上で+15",ベンガルクーン,スナノサウルス,,,,,,,,,,,,,,,,,
52,大神官,祈道ルート⑤（Lv.40以上）,"キアラル
スキルHP回復効果+3％
回復魔力+30
魔力の暴走率+1％",ベビル,スノードラゴン,お茶コッコ,,,,,,,,,,,,,,,,
53,大神官,舞道ルート⑤（Lv.40以上）,"鼓舞激励の発動率+5％
スキルの斬撃・体技ダメージ+2％
戦闘時のハッスルダンスHP回復効果+10％
最大HP+10",ごろつき,MCカンダタ,乗馬ブラザーズ,記念大王スライム5,記念大王スライム6,,,,,,,,,,,,,,
54,大神官,祈道ルート⑥（Lv.50以上）,"さとす
回復魔力+15【賢者】練度6以上で+10
最大HP+15
3％の確率で自分が受けた呪文を敵に跳ね返す",グレイツェル,マジックアーマー,グレイツェル(覚醒),精霊のふくぶくろ,,,,,,,,,,,,,,,
55,大神官,舞道ルート⑥（Lv.50以上）,"すばやさ+5
最大MP+10【スパスタ】練度6以上で+15
戦闘時のハッスルダンスHP回復効果+5％
悪い状態変化耐性+5％",ドラゴン,,,,,,,,,,,,,,,,,,
56,大神官,祈道ルート⑦（Lv.60以上＆ダーマ試練）,"じゅもんHP回復効果+2％
さいだいHP+15
さいだいMP+15【賢者】練度8以上で+15
かいふく魔力+5
",キラーアーマー,パンドラボックス,シルバリヌス,てんのもんばん,キラーアーマー(覚醒),ようがんトーチ,,,,,,,,,,,,,
57,大神官,舞道ルート⑦（Lv.60以上＆ダーマ試練）,"とくぎHP回復効果+2％
みのまもり+10
さいだいHP+15【スパスタ】練度8以上で+15
かいふく魔力+5",デザートゴースト,,,,,,,,,,,,,,,,,,
58,大神官,祈道ルート⑧（Lv.70以上）,"かいふく魔力+5
みのまもり+10
ブレス耐性+1%
かいふく魔力+5",メーダプリンス,フラワーゾンビ,,,,,,,,,,,,,,,,,
59,大神官,舞道ルート⑧（Lv.70以上）,"スキルの斬撃・体技ダメージ+2%
さいだいMP+10
じゅもん耐性+1%
ちから+10
",チョコヌーバ,,,,,,,,,,,,,,,,,,
60,大神官,祈道ルート⑨（Lv.80以上）,"かいふく魔力+5
スキルHP回復効果+3%
さいだいHP+15
さいだいMP+15",紅霞天ブレア(覚醒),灼爍天ブレア,アトラス(覚醒),さまようロトのよろい,,,,,,,,,,,,,,,
61,大神官,舞道ルート⑨（Lv.80以上）,"すばやさ+5
鼓舞激励の発動率+2%
みのまもり+10
みかわし率+1%",リザードフライ,,,,,,,,,,,,,,,,,,
62,大神官,祈道ルート⑩（Lv.90以上）,"みのまもり+10
とくぎHP回復効果+1%
かいふく魔力+5【賢者】練度9以上で+5
魔力の暴走率+1%",あやシイタケ,,,,,,,,,,,,,,,,,,
63,大神官,舞道ルート⑩（Lv.90以上）,"さいだいHP+15
かいふく魔力+5
すばやさ+5【スパスタ】練度9以上で+15
じゅもん耐性+1%",ゴールデンチョコ,,,,,,,,,,,,,,,,,,
64,魔剣士,最初の道（Lv.1以上）,"ちから+15
こうげき魔力+15
さいだいHP+10
みのまもり+10",ドロルメイジ,がいこつ,ハロウィンマミー,どくどくゾンビ,,,,,,,,,,,,,,,
65,魔剣士,魔道ルート①（Lv.5以上）,"斬撃・体技耐性-5％
フォースチャージの発動率+4％
フォースチャージの発動率+4％
さいだいMP+10【魔法戦士】練度2以上で+15
",アローインプ,ブラッドハンド,ジェリーマン,フロストギズモ,,,,,,,,,,,,,,,
66,魔剣士,刃道ルート①（Lv.5以上）,"じゅもん耐性-5％
因果の発動率+7％
因果の発動率+8％
すばやさ+10【バトマス】練度2以上で+15",ケダモン,たまねぎマン,ピンクモーモン,ベホイミスライム,,,,,,,,,,,,,,,
67,魔剣士,魔道ルート②（Lv.10以上）,"魔力かくせい
じゅもんダメージ+2％
こうげき魔力+15
封印耐性+5％",おみくじミミック,マミー,たてまじん,,,,,,,,,,,,,,,,
68,魔剣士,刃道ルート②（Lv.10以上）,"すてみ
スキルの斬撃・体技ダメージ+2％
ちから+15
幻惑耐性+5％",ひとくいばこ,イエティ,ベレス,ポンコツ兵,ダースウルフェン,,,,,,,,,,,,,,
69,魔剣士,魔道ルート③（Lv.20以上）,"ちから+10
さいだいHP+10
こうげき魔力+15【魔法戦士】練度4以上で+10
麻痺耐性+3％",ガチャコッコ,クイーンモーモン,,,,,,,,,,,,,,,,,
70,魔剣士,刃道ルート③（Lv.20以上）,"こうげき魔力+10
きようさ+20
ちから+15【バトマス】練度4以上で+10
攻撃減耐性+3％",ひとつめピエロ,バアルゼブブ,,,,,,,,,,,,,,,,,
71,魔剣士,魔道ルート④（Lv.30以上＆ダーマ試練）,"斬撃・体技耐性-5％
フォースブラスト
フォースチャージの発動率+10％
さいだいMP+10",ヘルボックル,ヘルジュラシック,,,,,,,,,,,,,,,,,
72,魔剣士,刃道ルート④（Lv.30以上＆ダーマ試練）,"じゅもん耐性-5％
因果の極み
因果の発動率+12％
すばやさ+10",シルバーデビル,ブルデビル,イーグルデビル,シルバーデビル(覚醒),ウィングデビル,ホースデビル,,,,,,,,,,,,,
73,魔剣士,魔道ルート⑤（Lv.40以上）,"斬撃・体技耐性-10％【魔法戦士】練度6以上で+2％
フォースチャージの発動率+5％
フォースチャージの発動率+5％
全属性ダメージ+3％",ともしびこぞう,フレイザード,,,,,,,,,,,,,,,,,
74,魔剣士,刃道ルート⑤（Lv.40以上）,"じゅもん耐性-10％【バトマス】練度6以上で+2％
因果の発動率+7％
因果の発動率+8％
2％で受けたダメージの100％を相手にも与える",メタルハンター,メカバーン,メタルドラゴン(覚醒),デュランダル,,,,,,,,,,,,,,,
75,魔剣士,魔道ルート⑥（Lv.50以上）,"じゅもんダメージ+3％
こうげき魔力+15
さいだいHP+10
魔力の暴走率+1％",うごくせきぞう,エビルホーク(覚醒),ネクロバルサ,うごくせきぞう(覚醒),メタルダーク,,,,,,,,,,,,,,
76,魔剣士,刃道ルート⑥（Lv.50以上）,"スキルの斬撃・体技ダメージ+3％
ちから+15
きようさ+20
会心率+1％",ボーンファイター,ボーンファイター(覚醒),メタルスコーピオン,,,,,,,,,,,,,,,,
77,魔剣士,魔道ルート⑦（Lv.60以上＆ダーマ試練）,"デイン属性じゅもんダメージ+3％
メラ属性じゅもんダメージ+3％
さいだいMP+15【魔法戦士】練度8以上で+15
こうげき魔力+5
",スノーエルダー,イデアラゴン,,,,,,,,,,,,,,,,,
78,魔剣士,刃道ルート⑦（Lv.60以上＆ダーマ試練）,"バギ属性斬撃・体技ダメージ+3％
イオ属性斬撃・体技ダメージ+3％
さいだいHP+15【バトマス】練度8以上で+15
ちから+5",エビルホーク,エビルホーク(覚醒),レティス,,,,,,,,,,,,,,,,
79,魔剣士,魔道ルート⑧（Lv.70以上）,"斬撃・体技耐性-5%
じゅもんダメージ+2%
さいだいHP+5
守備減耐性+3%",キラーピッケル,グリズリー,,,,,,,,,,,,,,,,,
80,魔剣士,刃道ルート⑧（Lv.70以上）,"じゅもん耐性-5%
スキルの斬撃・体技ダメージ+2%
みのまもり+10
攻撃減耐性+3%",邪眼皇帝アウルート,邪神官ハーゴン,きとうし,水竜ギルギッシュ(覚醒),白ジャンボコロネ,迅雷天ミカヅチ,モリーサタン,ワイトキング(覚醒),是空天ミカヅチ(覚醒),プレミアムチョコヌーバ,コメットスライム,ミリエラ,くもの大王,ゼッペル,,,,,
81,魔剣士,魔道ルート⑨（Lv.80以上）,"斬撃・体技耐性-5%
全属性ダメージ+1%
じゅもんダメージ+1%
さいだいMP+15",黒竜丸,タイガークロー,,,,,,,,,,,,,,,,,
82,魔剣士,刃道ルート⑨（Lv.80以上）,"じゅもん耐性-5%
すばやさ+10
スキルの斬撃・体技ダメージ+2%
さいだいHP+15",グリズリー,,,,,,,,,,,,,,,,,,
83,魔剣士,魔道ルート⑩（Lv.90以上）,"ヒャド属性ダメージ+2%
ドルマ属性ダメージ+2%
こうげき魔力+10【魔法戦士】練度9以上で+10
魔力の暴走率+1%",ホースデビル,,,,,,,,,,,,,,,,,,
84,魔剣士,刃道ルート⑩（Lv.90以上）,"ギラ属性ダメージ+2%
ザバ属性ダメージ+2%
ちから+10【バトマス】練度9以上で+10
ガード率+1%",クイーンズももいろ三姉妹,,,,,,,,,,,,,,,,,,
85,ドラゴン,最初の道（Lv.1以上）,"きようさ+15
さいだいHP+15
みのまもり+15
さいだいMP+10",おおさそり,さそりばち,メーダ,,,,,,,,,,,,,,,,
86,ドラゴン,竜道ルート①（Lv.5以上）,"竜の血 上昇確率+10%
ちから+10
攻撃減耐性+7%
さいだいMP+10",アルミラージ,アルミラージ,リカントマムル,,,,,,,,,,,,,,,,
87,ドラゴン,人道ルート①（Lv.5以上）,"制御不能 発動率-5%
みのまもり+10
守備減耐性+7%
さいだいHP+15",どれいへいし,しびれだんびら,,,,,,,,,,,,,,,,,
88,ドラゴン,竜道ルート②（Lv.10以上）,"いきをすいこむ
きようさ+15
さいだいMP+10【海賊】練度2以上で+10
麻痺耐性+3%",ブラックチャック,キラージャック,,,,,,,,,,,,,,,,,
89,ドラゴン,人道ルート②（Lv.10以上）,"だいぼうぎょ
さいだいHP+15
みのまもり+15【まものマスター】練度2以上で+15
怯え耐性+3%",タホドラキー,さまようたましい,,,,,,,,,,,,,,,,,
90,ドラゴン,竜道ルート③（Lv.20以上）,"会心率+1%
ちから+10
きようさ+15
ブレスダメージ+1%",メタッピー,メタルスライム,,,,,,,,,,,,,,,,,
91,ドラゴン,人道ルート③（Lv.20以上）,"制御不能 発動率-5%
すばやさ+10
ちから+15
ブレスダメージ+1%",ミミック,,,,,,,,,,,,,,,,,,
92,ドラゴン,竜道ルート④（Lv.30以上＆ダーマ試練）,"ドラゴニックバースト
スキルの斬撃・体技ダメージ+2%
ちから+15【海賊】練度4以上で+15
さいだいHP+15",スカイドラゴン,,,,,,,,,,,,,,,,,,
93,ドラゴン,人道ルート④（Lv.30以上＆ダーマ試練）,"深呼吸
転び耐性+3%
みのまもり+15【まものマスター】練度4以上で+15
きようさ+15",とらおとこ,,,,,,,,,,,,,,,,,,
94,ドラゴン,竜道ルート⑤（Lv.40以上）,"竜の血 上昇確率+10%
きようさ+15
さいだいMP+10
ちから+15",呪われしゼシカ,おどるほうせき(覚醒),ミストバーン,にじくじゃく(覚醒),堕天使エルギオス,闇の大魔王ゾーマ,女神ペルセリア,,,,,,,,,,,,
95,ドラゴン,人道ルート⑤（Lv.40以上）,"スキルの斬撃・体技ダメージ+2%
すばやさ+10
さいだいHP+15【まものマスター】練度6以上で+15
すべての状態異常耐性+1%",暴嵐天バリゲーン,ドルマゲス(強敵),竜騎士バラン,魔王オムド・レクス,大猿,闇の覇者蒼き竜王,,,,,,,,,,,,,
96,ドラゴン,竜道ルート⑥（Lv.50以上）,"竜の血 上昇確率+10%
ちから+15【海賊】練度6以上で+15
ブレスダメージ+1%
会心率+1%",メタルホイミン,,,,,,,,,,,,,,,,,,
97,ドラゴン,人道ルート⑥（Lv.50以上）,"制御不能 発動率-10%
きようさ+15
ブレスダメージ+1%
全属性耐性+1%",ボーンナイト,,,,,,,,,,,,,,,,,,
98,ドラゴン,竜道ルート⑦（Lv.60以上＆ダーマ試練）,"スキルの斬撃・体技ダメージ+2％
ちから+15
きようさ+15【海賊】練度8以上で+15
さいだいMP+10",マスタードラゴン邪,マスタードラゴン邪(覚醒),,,,,,,,,,,,,,,,,
99,ドラゴン,人道ルート⑦（Lv.60以上＆ダーマ試練）,"スキルの斬撃・体技ダメージ+2％
みのまもり+15
さいだいHP+15【まものマスター】練度8以上で+15
さいだいMP+10",トマホーガー,ランプのまじん(覚醒),レジェンドホース,てんのもんばん,かみさま,,,,,,,,,,,,,,
100,ドラゴン,竜道ルート⑧（Lv.70以上）,"スキルの体技ダメージ+1%
さいだいMP+10
ちから+5
すばやさ+10
",ファイアボール,,,,,,,,,,,,,,,,,,
101,ドラゴン,人道ルート⑧（Lv.70以上）,"スキルの斬撃ダメージ+1%
きようさ+15
さいだいHP+10
すばやさ+10",イデアラゴン,マーマン,破壊の邪神シドー(覚醒),,,,,,,,,,,,,,,,
102,ドラゴン,竜道ルート⑨（Lv.80以上）,"会心率+1%
さいだいHP+15
きようさ+15
怯え耐性+3%",キラーマシン(覚醒),キラーマシン,,,,,,,,,,,,,,,,,
103,ドラゴン,人道ルート⑨（Lv.80以上）,"ブレスダメージ+1%
すばやさ+10
みのまもり+15
魅了耐性+3%",ハヌマーン,ヒババンゴ,,,,,,,,,,,,,,,,,
104,ドラゴン,竜道ルート⑩（Lv.90以上）,"さいだいHP+15
ちから+10
ブレスダメージ+1%
さいだいMP+10【海賊】練度9以上で+10",ごくらくちょう,,,,,,,,,,,,,,,,,,
105,ドラゴン,人道ルート⑩（Lv.90以上）,"スキルの斬撃・体技ダメージ+2%
悪い状態変化耐性+1%
みのまもり+15【まものマスター】練度9以上で+15
混乱耐性+3%",モヒカント(覚醒),シルバリヌス,水の精霊,,,,,,,,,,,,,,,,
106,天地雷鳴士,最初の道（Lv.1以上）,"さいだいMP+10
きようさ+15
こうげき魔力+15
すばやさ+10",ギズモ,ブリザードマン,,,,,,,,,,,,,,,,,
107,天地雷鳴士,天道ルート①（Lv.5以上）,"カカロンの加護[反復]を有効化
こうげき魔力+15
きようさ+10
さいだいHP+10",パペットマン,ベホイムスライム,マッドフィンガー,,,,,,,,,,,,,,,,
108,天地雷鳴士,地道ルート①（Lv.5以上）,"バルバルーの加護[収束]を有効化
きようさ+15
こうげき魔力+10
さいだいMP+10",ブランマトック,ディアブラダ,,,,,,,,,,,,,,,,,
109,天地雷鳴士,天道ルート②（Lv.10以上）,"ドメディの刻印[奪取]を有効化
きようさ+15
こうげき魔力+10
みのまもり+10",岩とびあくま,げんじゅつし,,,,,,,,,,,,,,,,,
110,天地雷鳴士,地道ルート②（Lv.10以上）,"クシャラミの刻印[共有]を有効化
こうげき魔力+15
きようさ+10
すばやさ+15",ダースドラゴン,りゅうき兵,ガーディアン,,,,,,,,,,,,,,,,
111,天地雷鳴士,天道ルート③（Lv.20以上）,"じゅもんダメージ+1%
さいだいHP+10
みのまもり+10【賢者】練度2以上で+10
こうげき魔力+10",エリミネーター,ピンキーパンサー,,,,,,,,,,,,,,,,,
